country,totCons2019
United States,27310
Germany,8670
Japan,7551
France,6192
Italy,5469
Russia,4820
United Kingdom,3770
Spain,3253
Poland,2501
Netherlands,2030
Sweden,1769
Finland,1348
Belgium,1185
Austria,1173
Greece,1139
Romania,1108
Switzerland,1073
Portugal,931
Czech Republic,843
Denmark,778
Norway,771
Tunisia,508
Bulgaria,423
Hungary,418
Croatia,381
Ireland,370
Lithuania,251
Slovakia,227
Luxembourg,224
Slovenia,204
Estonia,123
Cyprus,115
Latvia,114
Malta,23
Brazil,
Canada,
Lebanon,
Bosnia and Herzegovina,
Iceland,
